Enzyme Name	EC	Compound Name	Km	Concentration
adenine phosphoribosyltransferase	2.4.2.7	PRPP	3.54E-05	2.58E-04
hypoxanthine phosphoribosyltransferase	2.4.2.8	PRPP	3.30E-05	2.58E-04
uracil phosphoribosyltransferase	2.4.2.9	PRPP	1.48E-04	2.58E-04
nicotinate-nucleotide diphosphorylase (carboxylating)	2.4.2.19	quinolinate	6.40E-06	1.15E-05
FMN reductase	1.5.1.29	riboflavin	1.79E-06	1.90E-05
transketolase	2.2.1.1	ribose-5P	1.40E-03	1.32E-03
ribose-phosphate diphosphokinase	2.7.6.1	ribose-5P	1.90E-04	1.32E-03
ribose-5-phosphate isomerase	5.3.1.6	ribose-5P	2.25E-03	1.32E-03
arabinose-5-phosphate isomerase	5.3.1.13	ribulose-5-P	3.18E-04	1.32E-03
[formate-C-acetyltransferase]-activating enzyme	1.97.1.4	SAM	2.80E-06	1.84E-04
methionine synthase	2.1.1.13	SAM	1.02E-06	1.84E-04
cyclopropane-fatty-acyl-phospholipid synthase	2.1.1.79	SAM	8.98E-05	1.84E-04
adenosylmethionine-8-amino-7-oxononanoate transaminase	2.6.1.62	SAM	5.14E-05	1.84E-04
adenosylmethionine decarboxylase	4.1.1.50	SAM	7.75E-05	1.84E-04
serine 3-dehydrogenase	1.1.1.276	serine	4.00E-02	6.80E-05
glycine hydroxymethyltransferase	2.1.2.1	serine	2.12E-04	6.80E-05
serine O-acetyltransferase	2.3.1.30	serine	1.10E-04	6.80E-05
CDP-diacylglycerol-serine O-phosphatidyltransferase	2.7.8.8	serine	8.50E-05	6.80E-05
tryptophan synthase	4.2.1.20	serine	3.40E-04	6.80E-05
L-serine ammonia-lyase	4.3.1.17	serine	1.75E-02	6.80E-05
Serine-tRNA ligase	6.1.1.11	serine	2.15E-05	6.80E-05
shikimate kinase	2.7.1.71	shikimate	5.85E-04	1.41E-05
succinate dehydrogenase (ubiquinone)	1.3.5.1	succinate	7.07E-05	5.69E-04
"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N- succinyltransferase"	2.3.1.117	succinyl-CoA	1.50E-05	2.33E-04
homoserine O-succinyltransferase	2.3.1.46	succinyl-CoA	1.70E-04	2.33E-04
L-threonine 3-dehydrogenase	1.1.1.103	threonine	1.05E-03	1.79E-04
threonine aldolase	4.1.2.5	threonine	2.85E-03	1.79E-04
threonine ammonia-lyase	4.3.1.19	threonine	4.12E-02	1.79E-04
threonine-tRNA ligase	6.1.1.3	threonine	1.34E-04	1.79E-04
tryptophanase	4.1.99.1	tryptophan	3.81E-04	1.21E-05
tryptophan-tRNA ligase	6.1.1.2	tryptophan	1.70E-05	1.21E-05
tyrosine-tRNA ligase	6.1.1.1	tyrosine	6.40E-06	2.89E-05
ribonucleoside-diphosphate reductase	1.17.4.1	UDP	2.20E-04	1.79E-03
UDP-glucose 6-dehydrogenase	1.1.1.22	UDP-glucose	2.57E-03	2.50E-03
"alpha,alpha-trehalose-phosphate synthase"	2.4.1.15	UDP-glucose	6.62E-03	2.50E-03
lipopolysaccharide glucosyltransferase I	2.4.1.58	UDP-glucose	1.90E-04	2.50E-03
lipopolysaccharide glucosyltransferase II	2.4.1.73	UDP-glucose	9.00E-06	2.50E-03
UDP-glucose-hexose-1-phosphate uridylyltransferase	2.7.7.12	UDP-glucose	2.00E-04	2.50E-03
UDP-sugar diphosphatase	3.6.1.45	UDP-glucose	2.00E-05	2.50E-03
UDP-glucose 4-epimerase	5.1.3.2	UDP-glucose	1.20E-03	2.50E-03
acyl-[acyl-carrier-protein]-UDP-N- acetylglucosamine O-acyltransferase	2.3.1.129	UDP-N-ac-glucosamine	2.85E-04	9.24E-03
undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase	2.4.1.227	UDP-N-ac-glucosamine	6.25E-05	9.24E-03
UDP-N-acetylglucosamine 1- carboxyvinyltransferase	2.5.1.7	UDP-N-ac-glucosamine	5.98E-05	9.24E-03
UDP-N-acetylglucosamine 2-epimerase	5.1.3.14	UDP-N-ac-glucosamine	6.15E-04	9.24E-03
uridine kinase	2.7.1.48	uridine	3.50E-04	2.09E-03
glucosamine-1-phosphate N-acetyltransferase	2.3.1.157	UTP	1.00E-04	8.29E-03
UDP-N-acetylglucosamine diphosphorylase	2.7.7.23	UTP	1.00E-04	8.29E-03
UTP-glucose-1-phosphate uridylyltransferase	2.7.7.9	UTP	7.00E-05	8.29E-03
CTP synthase	6.3.4.2	UTP	4.38E-05	8.29E-03
branched-chain-amino-acid transaminase	2.6.1.42	valine	2.91E-03	4.02E-03
valine-tRNA ligase	6.1.1.9	valine	2.57E-05	4.02E-03
